				Alberta	Alberta	Atlantic Canada	Atlantic Canada	British Columbia	British Columbia	North	North	Ontario	Ontario	Prairies	Prairies	Quebec	Quebec
It could provide more desirable housing in my neighbourhood.	Drivers	ADU	High Perceived Neighbors' Support	6	1	3	3	14	1	0	0	29	2	4	2	18	0
It would make the neighbourhood more inclusive by creating more diverse housing options.	Drivers	ADU	High Perceived Neighbors' Support	9	3	4	3	14	1	0	0	28	4	1	1	15	1
It would attract more diverse residents and create a more vibrant community.	Drivers	ADU	High Perceived Neighbors' Support	5	3	2	1	11	0	0	0	16	0	3	0	5	0
It can help address housing shortages while preserving the character of my neighbourhood by offering an alternative to large-scale developments.	Drivers	ADU	High Perceived Neighbors' Support	16	5	10	11	40	2	2	2	73	17	11	2	54	1
It is a more environmentally responsible way to address housing shortages than traditional single family homes.	Drivers	ADU	High Perceived Neighbors' Support	16	4	10	5	27	2	1	1	56	15	4	4	35	0
It provides options for elderly people who are looking to downsize, without requiring them to leave the neighbourhood.	Drivers	ADU	High Perceived Neighbors' Support	25	9	16	22	51	9	0	0	106	31	15	10	61	1
It would improve my sense of safety in my neighbourhood.	Drivers	ADU	High Perceived Neighbors' Support	3	1	1	0	4	0	0	0	15	0	1	1	5	0
None of the above	Drivers	ADU	Low Perceived Neighbors' Support	47	5	15	10	41	9	2	2	171	22	33	9	98	0
It could help accommodate my neighbourhood’s growing population.	Drivers	ADU	Low Perceived Neighbors' Support	14	3	8	1	20	4	1	0	68	5	8	0	30	0
It would help maximize the use of land in my neighbourhood.	Drivers	ADU	Low Perceived Neighbors' Support	23	4	3	3	38	5	0	0	97	14	7	6	35	3
It could drive economic opportunities in my neighbourhood (e.g., more support for local businesses).	Drivers	ADU	Low Perceived Neighbors' Support	25	7	8	8	26	1	1	0	56	9	6	3	54	1
It could bring more affordable housing to my neighbourhood.	Drivers	ADU	Low Perceived Neighbors' Support	50	13	22	13	77	8	3	0	216	28	26	7	155	2
It could provide more desirable housing in my neighbourhood.	Drivers	ADU	Low Perceived Neighbors' Support	7	2	2	5	16	0	1	0	42	4	8	2	27	1
It would make the neighbourhood more inclusive by creating more diverse housing options.	Drivers	ADU	Low Perceived Neighbors' Support	14	3	2	3	19	1	0	0	36	6	1	3	37	0
It would attract more diverse residents and create a more vibrant community.	Drivers	ADU	Low Perceived Neighbors' Support	7	3	5	2	6	0	0	1	20	3	4	0	23	0
It can help address housing shortages while preserving the character of my neighbourhood by offering an alternative to large-scale developments.	Drivers	ADU	Low Perceived Neighbors' Support	45	10	22	8	39	4	0	0	135	29	18	7	145	3
It is a more environmentally responsible way to address housing shortages than traditional single family homes.	Drivers	ADU	Low Perceived Neighbors' Support	30	8	8	7	31	5	1	1	103	16	17	2	68	0
It provides options for elderly people who are looking to downsize, without requiring them to leave the neighbourhood.	Drivers	ADU	Low Perceived Neighbors' Support	82	16	37	18	72	10	1	1	235	40	39	15	192	4
It would improve my sense of safety in my neighbourhood.	Drivers	ADU	Low Perceived Neighbors' Support	2	0	3	1	4	0	0	0	11	1	3	0	8	0
None of the above	Drivers	Middle Housing	High Personal Support	8	4	4	3	13	0	1	0	50	0	3	0	31	0
It could help accommodate my neighbourhood’s growing population.	Drivers	Middle Housing	High Personal Support	28	5	14	8	49	2	1	1	120	13	13	2	67	1
It could increase the housing supply while preserving the character of my neighbourhood.	Drivers	Middle Housing	High Personal Support	26	9	14	4	40	2	0	0	99	9	12	0	93	0
It could help maximize the use of land in my neighbourhood.	Drivers	Middle Housing	High Personal Support	52	7	15	8	82	6	1	1	178	29	15	5	78	2
It could drive economic opportunities in my neighbourhood (e.g., more support for local businesses).	Drivers	Middle Housing	High Personal Support	36	3	7	7	27	3	0	0	73	9	13	6	63	1
It could bring more affordable housing to my neighbourhood.	Drivers	Middle Housing	High Personal Support	82	11	30	20	120	11	1	0	290	40	35	7	185	1
It could provide more comfortable housing in my neighbourhood.	Drivers	Middle Housing	High Personal Support	23	6	10	5	42	2	0	0	86	11	15	7	68	2
I would like to have the option to convert my own home into middle housing.	Drivers	Middle Housing	High Personal Support	9	0	2	2	16	2	2	0	23	2	3	0	18	0
It would make the neighbourhood more inclusive by creating more diverse housing options.	Drivers	Middle Housing	High Personal Support	28	1	6	3	34	1	1	1	74	7	8	1	42	1
It would attract more diverse residents and create a more vibrant community.	Drivers	Middle Housing	High Personal Support	12	2	7	0	17	0	1	0	29	1	4	4	47	0
It is a more environmentally responsible way to address housing shortages than traditional single family homes.	Drivers	Middle Housing	High Personal Support	39	2	16	4	52	3	0	2	148	26	18	5	77	2
None of the above	Drivers	Middle Housing	Low Personal Support	47	7	18	13	48	12	3	2	161	36	35	14	98	0
It could help accommodate my neighbourhood’s growing population.	Drivers	Middle Housing	Low Personal Support	9	3	8	0	13	4	1	0	34	7	7	0	9	0
It could increase the housing supply while preserving the character of my neighbourhood.	Drivers	Middle Housing	Low Personal Support	6	1	5	2	10	2	1	1	16	6	3	1	25	0
It could help maximize the use of land in my neighbourhood.	Drivers	Middle Housing	Low Personal Support	10	3	7	9	15	4	1	0	52	11	4	3	22	2
It could drive economic opportunities in my neighbourhood (e.g., more support for local businesses).	Drivers	Middle Housing	Low Personal Support	10	5	7	5	5	0	0	0	31	6	5	1	29	0
It could bring more affordable housing to my neighbourhood.	Drivers	Middle Housing	Low Personal Support	23	9	10	12	27	4	0	0	69	19	8	5	52	1
It could provide more comfortable housing in my neighbourhood.	Drivers	Middle Housing	Low Personal Support	3	3	3	1	7	2	0	0	24	8	2	2	22	1
I would like to have the option to convert my own home into middle housing.	Drivers	Middle Housing	Low Personal Support	2	0	1	0	2	1	0	0	5	1	3	0	3	0
It would make the neighbourhood more inclusive by creating more diverse housing options.	Drivers	Middle Housing	Low Personal Support	1	4	2	6	4	0	0	0	16	6	1	2	11	2
It would attract more diverse residents and create a more vibrant community.	Drivers	Middle Housing	Low Personal Support	2	2	1	3	2	2	0	0	13	2	1	1	8	0
It is a more environmentally responsible way to address housing shortages than traditional single family homes.	Drivers	Middle Housing	Low Personal Support	13	1	11	9	10	5	2	0	34	13	7	0	27	2
None of the above	Drivers	Middle Housing	High Perceived Neighbors' Support	5	0	3	1	11	0	2	0	33	1	2	0	16	0
It could help accommodate my neighbourhood’s growing population.	Drivers	Middle Housing	High Perceived Neighbors' Support	22	2	8	6	35	0	1	1	88	10	11	1	43	1
It could increase the housing supply while preserving the character of my neighbourhood.	Drivers	Middle Housing	High Perceived Neighbors' Support	15	6	11	4	25	0	0	0	67	5	6	0	55	0
It could help maximize the use of land in my neighbourhood.	Drivers	Middle Housing	High Perceived Neighbors' Support	36	4	9	5	57	1	1	0	119	13	10	2	53	1
It could drive economic opportunities in my neighbourhood (e.g., more support for local businesses).	Drivers	Middle Housing	High Perceived Neighbors' Support	21	2	5	4	18	1	0	0	50	6	11	3	34	1
It could bring more affordable housing to my neighbourhood.	Drivers	Middle Housing	High Perceived Neighbors' Support	56	6	18	12	77	4	1	0	189	18	24	7	108	1
It could provide more comfortable housing in my neighbourhood.	Drivers	Middle Housing	High Perceived Neighbors' Support	16	4	5	5	31	2	0	0	59	8	13	6	40	1
I would like to have the option to convert my own home into middle housing.	Drivers	Middle Housing	High Perceived Neighbors' Support	7	0	2	1	12	1	2	0	10	1	1	0	11	0
It would make the neighbourhood more inclusive by creating more diverse housing options.	Drivers	Middle Housing	High Perceived Neighbors' Support	21	1	2	3	24	0	1	0	44	4	2	0	22	0
It would attract more diverse residents and create a more vibrant community.	Drivers	Middle Housing	High Perceived Neighbors' Support	8	2	7	0	11	0	1	0	21	1	2	2	26	0
It is a more environmentally responsible way to address housing shortages than traditional single family homes.	Drivers	Middle Housing	High Perceived Neighbors' Support	21	0	10	3	31	0	1	1	97	14	10	3	44	0
None of the above	Drivers	Middle Housing	Low Perceived Neighbors' Support	50	11	19	15	50	12	2	2	178	35	36	14	113	0
It could help accommodate my neighbourhood’s growing population.	Drivers	Middle Housing	Low Perceived Neighbors' Support	15	6	14	2	27	6	1	0	66	10	9	1	33	0
It could increase the housing supply while preserving the character of my neighbourhood.	Drivers	Middle Housing	Low Perceived Neighbors' Support	17	4	8	2	25	4	1	1	48	10	9	1	63	0
It could help maximize the use of land in my neighbourhood.	Drivers	Middle Housing	Low Perceived Neighbors' Support	26	6	13	12	40	9	1	1	111	27	9	6	47	3
It could drive economic opportunities in my neighbourhood (e.g., more support for local businesses).	Drivers	Middle Housing	Low Perceived Neighbors' Support	25	6	9	8	14	2	0	0	54	9	7	4	58	0
It could bring more affordable housing to my neighbourhood.	Drivers	Middle Housing	Low Perceived Neighbors' Support	49	14	22	20	70	11	0	0	170	41	19	5	129	1
It could provide more comfortable housing in my neighbourhood.	Drivers	Middle Housing	Low Perceived Neighbors' Support	10	5	8	1	18	2	0	0	51	11	4	3	50	2
I would like to have the option to convert my own home into middle housing.	Drivers	Middle Housing	Low Perceived Neighbors' Support	4	0	1	1	6	2	0	0	18	2	5	0	10	0
It would make the neighbourhood more inclusive by creating more diverse housing options.	Drivers	Middle Housing	Low Perceived Neighbors' Support	8	4	6	6	14	1	0	1	46	9	7	3	31	3
It would attract more diverse residents and create a more vibrant community.	Drivers	Middle Housing	Low Perceived Neighbors' Support	6	2	1	3	8	2	0	0	21	2	3	3	29	0
It is a more environmentally responsible way to address housing shortages than traditional single family homes.	Drivers	Middle Housing	Low Perceived Neighbors' Support	31	3	17	10	31	8	1	1	85	25	15	2	60	4
None of the above	Drivers	ModularPrefab	High Personal Support	3	2	6	3	9	1	0	0	27	4	3	3	24	0
It could help accommodate my neighbourhood’s growing population.	Drivers	ModularPrefab	High Personal Support	21	3	13	10	49	6	2	1	83	21	7	3	50	1
It could drive economic opportunities in my neighbourhood.	Drivers	ModularPrefab	High Personal Support	14	4	8	7	19	3	2	0	54	10	5	9	52	2
It could bring more affordable housing to my neighbourhood.	Drivers	ModularPrefab	High Personal Support	61	16	36	31	101	18	2	2	233	55	28	13	180	4
It could provide more desirable housing in my neighbourhood.	Drivers	ModularPrefab	High Personal Support	13	3	5	14	16	4	0	1	66	14	11	6	61	1
It could seamlessly integrate with the look of my neighbourhood	Drivers	ModularPrefab	High Personal Support	21	7	10	8	23	5	0	0	49	16	12	3	61	0
It could reduce disruptions and nuisance from construction (e.g., noise, road blockages, dust) compared to traditional construction	Drivers	ModularPrefab	High Personal Support	51	9	22	14	53	7	3	1	133	21	20	6	105	2
It is more environmentally responsible than traditional housing.	Drivers	ModularPrefab	High Personal Support	24	2	12	7	53	10	0	2	138	21	13	5	82	3
None of the above	Drivers	ModularPrefab	Low Personal Support	57	11	17	10	75	6	1	1	219	26	31	9	120	1
It could help accommodate my neighbourhood’s growing population.	Drivers	ModularPrefab	Low Personal Support	19	2	8	1	22	1	0	0	63	4	10	3	21	0
It could drive economic opportunities in my neighbourhood.	Drivers	ModularPrefab	Low Personal Support	14	3	5	2	11	0	0	0	32	8	7	3	45	0
It could bring more affordable housing to my neighbourhood.	Drivers	ModularPrefab	Low Personal Support	43	8	15	6	52	4	0	1	150	17	25	4	76	1
It could provide more desirable housing in my neighbourhood.	Drivers	ModularPrefab	Low Personal Support	6	2	10	2	13	1	0	0	34	7	8	0	27	0
It could seamlessly integrate with the look of my neighbourhood	Drivers	ModularPrefab	Low Personal Support	10	1	4	1	4	1	1	0	20	5	7	0	17	0
It could reduce disruptions and nuisance from construction (e.g., noise, road blockages, dust) compared to traditional construction	Drivers	ModularPrefab	Low Personal Support	30	5	11	2	32	2	3	0	69	9	13	2	48	0
It is more environmentally responsible than traditional housing.	Drivers	ModularPrefab	Low Personal Support	19	2	9	0	23	2	1	0	60	7	4	1	32	0
None of the above	Drivers	ModularPrefab	High Perceived Neighbors' Support	2	1	4	2	8	1	0	0	8	3	2	2	12	0
It could help accommodate my neighbourhood’s growing population.	Drivers	ModularPrefab	High Perceived Neighbors' Support	10	1	8	7	29	4	2	0	48	11	3	5	25	1
It could drive economic opportunities in my neighbourhood.	Drivers	ModularPrefab	High Perceived Neighbors' Support	8	4	5	4	7	3	2	0	29	5	2	8	24	2
It could bring more affordable housing to my neighbourhood.	Drivers	ModularPrefab	High Perceived Neighbors' Support	31	8	24	17	50	14	1	1	116	34	16	13	87	4
It could provide more desirable housing in my neighbourhood.	Drivers	ModularPrefab	High Perceived Neighbors' Support	7	1	5	8	6	4	0	0	33	9	8	3	30	0
It could seamlessly integrate with the look of my neighbourhood	Drivers	ModularPrefab	High Perceived Neighbors' Support	9	4	6	4	11	3	0	0	25	13	8	3	29	0
It could reduce disruptions and nuisance from construction (e.g., noise, road blockages, dust) compared to traditional construction	Drivers	ModularPrefab	High Perceived Neighbors' Support	22	4	16	7	29	5	2	1	66	13	14	5	60	1
It is more environmentally responsible than traditional housing.	Drivers	ModularPrefab	High Perceived Neighbors' Support	11	2	8	5	25	8	0	1	64	13	7	5	36	2
None of the above	Drivers	ModularPrefab	Low Perceived Neighbors' Support	58	12	19	11	76	6	1	1	238	27	32	10	132	1
It could help accommodate my neighbourhood’s growing population.	Drivers	ModularPrefab	Low Perceived Neighbors' Support	30	4	13	4	42	3	0	1	98	14	14	1	46	0
It could drive economic opportunities in my neighbourhood.	Drivers	ModularPrefab	Low Perceived Neighbors' Support	20	3	8	5	23	0	0	0	57	13	10	4	73	0
It could bring more affordable housing to my neighbourhood.	Drivers	ModularPrefab	Low Perceived Neighbors' Support	73	16	27	20	103	8	1	2	267	38	37	4	169	1
It could provide more desirable housing in my neighbourhood.	Drivers	ModularPrefab	Low Perceived Neighbors' Support	12	4	10	8	23	1	0	1	67	12	11	3	58	1
It could seamlessly integrate with the look of my neighbourhood	Drivers	ModularPrefab	Low Perceived Neighbors' Support	22	4	8	5	16	3	1	0	44	8	11	0	49	0
It could reduce disruptions and nuisance from construction (e.g., noise, road blockages, dust) compared to traditional construction	Drivers	ModularPrefab	Low Perceived Neighbors' Support	59	10	17	9	56	4	4	0	136	17	19	3	93	1
It is more environmentally responsible than traditional housing.	Drivers	ModularPrefab	Low Perceived Neighbors' Support	32	2	13	2	51	4	1	1	134	15	10	1	78	1
None of the above	Drivers	SupportiveHousing	High Personal Support	1	2	1	2	6	0	1	0	26	3	4	0	4	0
It could bring more affordable housing to my neighbourhood.	Drivers	SupportiveHousing	High Personal Support	21	7	10	9	43	4	0	0	128	22	6	3	59	3
It could benefit vulnerable populations.	Drivers	SupportiveHousing	High Personal Support	54	9	20	19	61	5	1	0	175	25	27	6	124	2
It could help to address social issues I see in my neighbourhood (e.g., homelessness).	Drivers	SupportiveHousing	High Personal Support	40	6	16	14	60	4	1	2	144	22	23	7	119	2
It could make my neighbourhood safer by providing stable housing and services to at-risk people.	Drivers	SupportiveHousing	High Personal Support	7	1	3	1	12	1	0	1	31	4	4	0	22	1
It could bring more diversity to my neighbourhood.	Drivers	SupportiveHousing	High Personal Support	11	2	1	2	8	0	0	1	28	8	9	1	12	0
It could attract other social services (e.g. healthcare services) to my neighbourhood.	Drivers	SupportiveHousing	High Personal Support	27	3	12	8	19	3	1	1	63	5	14	6	41	3
It could drive economic opportunities in my neighbourhood (e.g., creating jobs, improving conditions for local businesses).	Drivers	SupportiveHousing	High Personal Support	11	3	2	6	6	0	0	1	32	9	4	2	19	1
It aligns with my values.	Drivers	SupportiveHousing	High Personal Support	34	3	9	10	35	5	1	3	89	8	18	2	55	0
None of the above	Drivers	SupportiveHousing	Low Personal Support	64	13	32	15	101	20	4	1	233	35	35	13	179	0
It could bring more affordable housing to my neighbourhood.	Drivers	SupportiveHousing	Low Personal Support	18	4	13	6	23	0	0	1	79	14	8	4	61	1
It could benefit vulnerable populations.	Drivers	SupportiveHousing	Low Personal Support	56	10	19	9	57	6	2	1	161	31	26	9	110	2
It could help to address social issues I see in my neighbourhood (e.g., homelessness).	Drivers	SupportiveHousing	Low Personal Support	32	3	14	11	47	3	1	0	118	19	16	7	67	1
It could make my neighbourhood safer by providing stable housing and services to at-risk people.	Drivers	SupportiveHousing	Low Personal Support	1	3	3	0	6	0	1	0	30	4	2	2	14	0
It could bring more diversity to my neighbourhood.	Drivers	SupportiveHousing	Low Personal Support	6	3	3	0	5	2	0	1	23	2	1	1	11	0
It could attract other social services (e.g. healthcare services) to my neighbourhood.	Drivers	SupportiveHousing	Low Personal Support	16	2	6	9	23	2	0	0	63	11	11	4	52	0
It could drive economic opportunities in my neighbourhood (e.g., creating jobs, improving conditions for local businesses).	Drivers	SupportiveHousing	Low Personal Support	9	3	7	4	12	0	0	0	32	5	4	3	17	0
It aligns with my values.	Drivers	SupportiveHousing	Low Personal Support	17	0	6	3	12	0	0	0	24	5	5	0	31	0
None of the above	Drivers	SupportiveHousing	High Perceived Neighbors' Support	1	0	1	1	3	0	1	0	7	0	0	0	2	0
It could bring more affordable housing to my neighbourhood.	Drivers	SupportiveHousing	High Perceived Neighbors' Support	7	3	7	5	20	1	0	0	51	9	1	3	30	2
It could benefit vulnerable populations.	Drivers	SupportiveHousing	High Perceived Neighbors' Support	15	7	11	7	19	2	0	0	54	6	11	3	39	2
It could help to address social issues I see in my neighbourhood (e.g., homelessness).	Drivers	SupportiveHousing	High Perceived Neighbors' Support	12	3	7	5	17	1	1	1	45	7	10	4	45	2
It could make my neighbourhood safer by providing stable housing and services to at-risk people.	Drivers	SupportiveHousing	High Perceived Neighbors' Support	3	0	1	1	5	0	0	1	16	1	1	0	9	1
It could bring more diversity to my neighbourhood.	Drivers	SupportiveHousing	High Perceived Neighbors' Support	4	1	1	1	1	0	0	1	17	2	7	1	6	0
It could attract other social services (e.g. healthcare services) to my neighbourhood.	Drivers	SupportiveHousing	High Perceived Neighbors' Support	10	1	6	2	10	2	1	0	24	2	3	3	17	2
It could drive economic opportunities in my neighbourhood (e.g., creating jobs, improving conditions for local businesses).	Drivers	SupportiveHousing	High Perceived Neighbors' Support	1	3	2	2	4	0	0	1	17	5	2	1	10	0
It aligns with my values.	Drivers	SupportiveHousing	High Perceived Neighbors' Support	5	3	3	2	11	2	0	2	31	1	10	1	26	0
None of the above	Drivers	SupportiveHousing	Low Perceived Neighbors' Support	64	15	32	16	104	20	4	1	252	38	39	13	181	0
It could bring more affordable housing to my neighbourhood.	Drivers	SupportiveHousing	Low Perceived Neighbors' Support	32	8	16	10	46	3	0	1	156	27	13	4	90	2
It could benefit vulnerable populations.	Drivers	SupportiveHousing	Low Perceived Neighbors' Support	95	12	28	21	99	9	3	1	282	50	42	12	195	2
It could help to address social issues I see in my neighbourhood (e.g., homelessness).	Drivers	SupportiveHousing	Low Perceived Neighbors' Support	60	6	23	20	90	6	1	1	217	34	29	10	141	1
It could make my neighbourhood safer by providing stable housing and services to at-risk people.	Drivers	SupportiveHousing	Low Perceived Neighbors' Support	5	4	5	0	13	1	1	0	45	7	5	2	27	0
It could bring more diversity to my neighbourhood.	Drivers	SupportiveHousing	Low Perceived Neighbors' Support	13	4	3	1	12	2	0	1	34	8	3	1	17	0
It could attract other social services (e.g. healthcare services) to my neighbourhood.	Drivers	SupportiveHousing	Low Perceived Neighbors' Support	33	4	12	15	32	3	0	1	102	14	22	7	76	1
It could drive economic opportunities in my neighbourhood (e.g., creating jobs, improving conditions for local businesses).	Drivers	SupportiveHousing	Low Perceived Neighbors' Support	19	3	7	8	14	0	0	0	47	9	6	4	26	1
It aligns with my values.	Drivers	SupportiveHousing	Low Perceived Neighbors' Support	46	0	12	11	36	3	1	1	82	12	13	1	60	0